"","...1","sensor_ID","date_collected","AQI","temperature","County","stcofips","omb","medinc","unemp","pz","day_number"
"30",30,55111,2022-03-05,115.485,75.286,"Hoke",37093,"Urban center","Middle income","Moderate unemployment","Sandhills",64
"31",31,12787,2022-03-18,115.083,92.067,"Edgecombe",37065,"Urban center","Lower income","Higher unemployment","North Central",77
"32",32,2873,2022-03-06,110.632,89.433,"Durham",37063,"Urban center","Higher income","Lower unemployment","North Central",65
"33",33,6020,2022-03-07,108.924,77.067,"Cherokee",37039,"Not urban","Middle income","Moderate unemployment","Western",66
"34",34,12286,2022-03-04,106.908,70.267,"Brunswick",37019,"Urban center","Higher income","Moderate unemployment","Southeast",63
"35",35,4329,2022-03-03,101.242,88.6,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",62
"36",36,55111,2022-03-03,100.539,85.767,"Hoke",37093,"Urban center","Middle income","Moderate unemployment","Sandhills",62
"37",37,36451,2022-03-11,99.05,76.667,"Clay",37043,"Not urban","Lower income","Moderate unemployment","Western",70
"38",38,12807,2022-03-09,94.313,70.423,"Wayne",37191,"Urban center","Middle income","Moderate unemployment","Southeast",68
"39",39,53383,2022-03-19,88.837,85.6,"Rockingham",37157,"Urban outlying","Middle income","Moderate unemployment","Piedmont Triad",78
"40",40,55111,2022-03-02,86.733,78.148,"Hoke",37093,"Urban center","Middle income","Moderate unemployment","Sandhills",61
"41",41,38875,2022-03-05,86.69,85.3,"Pender",37141,"Urban outlying","Higher income","Moderate unemployment","Southeast",64
"42",42,6020,2022-03-03,83.494,86.267,"Cherokee",37039,"Not urban","Middle income","Moderate unemployment","Western",62
"43",43,38917,2022-03-14,83.157,70.8,"Caswell",37033,"Not urban","Middle income","Moderate unemployment","Piedmont Triad",73
"44",44,4329,2022-03-05,79.086,78.933,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",64
"45",45,48459,2022-03-03,78.43,85.167,"Buncombe",37021,"Urban center","Higher income","Lower unemployment","Western",62
"46",46,4329,2022-03-06,77.293,87.267,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",65
"47",47,20809,2022-03-06,77.159,84.6,"Mecklenburg",37119,"Urban center","Higher income","Lower unemployment","Southwest",65
"48",48,47477,2022-03-06,74.832,87.467,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",65
"49",49,55111,2022-03-04,74.477,71.533,"Hoke",37093,"Urban center","Middle income","Moderate unemployment","Sandhills",63
"50",50,2873,2022-03-19,73.833,87.1,"Durham",37063,"Urban center","Higher income","Lower unemployment","North Central",78
"51",51,47633,2022-03-16,73.657,77.3,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",75
"52",52,12835,2022-03-15,73.418,75.633,"Lincoln",37109,"Urban outlying","Higher income","Lower unemployment","Southwest",74
"53",53,47487,2022-03-06,72.747,84.767,"Durham",37063,"Urban center","Higher income","Lower unemployment","North Central",65
"54",54,11174,2022-03-06,72.567,86.033,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",65
"55",55,6020,2022-03-09,72.181,62.231,"Cherokee",37039,"Not urban","Middle income","Moderate unemployment","Western",68
"56",56,39969,2022-03-05,72.103,78,"Union",37179,"Urban center","Higher income","Lower unemployment","Southwest",64
"57",57,11184,2022-03-06,71.586,90.5,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",65
"58",58,6112,2022-03-05,69.823,85.467,"Stanly",37167,"Urban center","Middle income","Lower unemployment","Southwest",64
"59",59,55773,2022-03-06,69.429,83.667,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",65
"60",60,52885,2022-03-04,68.016,72.433,"Rowan",37159,"Urban outlying","Middle income","Moderate unemployment","Southwest",63
"61",61,47469,2022-03-06,67.361,84.793,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",65
"62",62,47621,2022-03-06,65.957,84.633,"Durham",37063,"Urban center","Higher income","Lower unemployment","North Central",65
"63",63,47481,2022-03-06,65.334,85.5,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",65
"64",64,47495,2022-03-06,65.109,90.833,"Durham",37063,"Urban center","Higher income","Lower unemployment","North Central",65
"65",65,1326,2022-03-06,64.93,80.7,"Haywood",37087,"Urban center","Middle income","Lower unemployment","Western",65
"66",66,6020,2022-03-18,64.867,74.767,"Cherokee",37039,"Not urban","Middle income","Moderate unemployment","Western",77
"67",67,11190,2022-03-06,64.734,84.633,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",65
"68",68,757,2022-03-06,64.366,87.7,"Durham",37063,"Urban center","Higher income","Lower unemployment","North Central",65
"69",69,47617,2022-03-06,64.105,83.1,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",65
"70",70,47459,2022-03-06,63.986,87.9,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",65
"71",71,48745,2022-03-06,63.822,87.067,"Durham",37063,"Urban center","Higher income","Lower unemployment","North Central",65
"72",72,7906,2022-03-09,63.8,75.033,"Duplin",37061,"Not urban","Lower income","Moderate unemployment","Southeast",68
"73",73,6006,2022-03-06,61.901,85.2,"Gaston",37071,"Urban outlying","Middle income","Lower unemployment","Southwest",65
"74",74,47505,2022-03-06,61.624,87.067,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",65
"75",75,12689,2022-03-03,61.606,93.067,"Wilkes",37193,"Urban center","Middle income","Lower unemployment","Northwest",62
"76",76,38917,2022-03-06,61.409,85.033,"Caswell",37033,"Not urban","Middle income","Moderate unemployment","Piedmont Triad",65
"77",77,28145,2022-03-06,61.373,83.933,"Durham",37063,"Urban center","Higher income","Lower unemployment","North Central",65
"78",78,36451,2022-03-18,61.29,66.967,"Clay",37043,"Not urban","Lower income","Moderate unemployment","Western",77
"79",79,12835,2022-03-06,60.965,87.567,"Lincoln",37109,"Urban outlying","Higher income","Lower unemployment","Southwest",65
"80",80,55111,2022-03-09,60.424,64,"Hoke",37093,"Urban center","Middle income","Moderate unemployment","Sandhills",68
"81",81,4329,2022-03-16,60.354,78.633,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",75
"82",82,55111,2022-03-06,58.037,85.826,"Hoke",37093,"Urban center","Middle income","Moderate unemployment","Sandhills",65
"83",83,28147,2022-03-06,57.253,87.867,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",65
"84",84,54093,2022-03-06,57.222,82.267,"Durham",37063,"Urban center","Higher income","Lower unemployment","North Central",65
"85",85,52885,2022-03-02,57.195,82.833,"Rowan",37159,"Urban outlying","Middle income","Moderate unemployment","Southwest",61
"86",86,20809,2022-03-01,57.003,72.967,"Mecklenburg",37119,"Urban center","Higher income","Lower unemployment","Southwest",60
"87",87,54095,2022-03-06,56.775,89.6,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",65
"88",88,47633,2022-03-06,56.772,84.133,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",65
"89",89,38875,2022-03-03,56.732,95.267,"Pender",37141,"Urban outlying","Higher income","Moderate unemployment","Southeast",62
"90",90,6022,2022-03-06,55.656,88.9,"Mecklenburg",37119,"Urban center","Higher income","Lower unemployment","Southwest",65
"91",91,6020,2022-03-12,55.435,68.833,"Cherokee",37039,"Not urban","Middle income","Moderate unemployment","Western",71
"92",92,48459,2022-03-04,55.283,78.033,"Buncombe",37021,"Urban center","Higher income","Lower unemployment","Western",63
"93",93,6022,2022-03-05,55.202,85.067,"Mecklenburg",37119,"Urban center","Higher income","Lower unemployment","Southwest",64
"94",94,12703,2022-03-06,55.087,84.8,"Mecklenburg",37119,"Urban center","Higher income","Lower unemployment","Southwest",65
"95",95,6028,2022-03-06,54.723,87.333,"Mecklenburg",37119,"Urban center","Higher income","Lower unemployment","Southwest",65
"96",96,39969,2022-03-06,54.558,85,"Union",37179,"Urban center","Higher income","Lower unemployment","Southwest",65
"97",97,11644,2022-03-06,54.355,88.067,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",65
"98",98,47615,2022-03-18,54.301,82.933,"Johnston",37101,"Urban center","Higher income","Lower unemployment","North Central",77
"99",99,6028,2022-03-05,54.283,83.267,"Mecklenburg",37119,"Urban center","Higher income","Lower unemployment","Southwest",64
"100",100,47481,2022-03-16,53.979,77.467,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",75
"101",101,6020,2022-03-06,53.972,78.867,"Cherokee",37039,"Not urban","Middle income","Moderate unemployment","Western",65
"102",102,55111,2022-03-16,53.848,75.333,"Hoke",37093,"Urban center","Middle income","Moderate unemployment","Sandhills",75
"103",103,6112,2022-03-16,53.443,81.367,"Stanly",37167,"Urban center","Middle income","Lower unemployment","Southwest",75
"104",104,12689,2022-03-06,53.434,94.533,"Wilkes",37193,"Urban center","Middle income","Lower unemployment","Northwest",65
"105",105,12835,2022-03-05,53.004,82.8,"Lincoln",37109,"Urban outlying","Higher income","Lower unemployment","Southwest",64
"106",106,20521,2022-03-06,52.915,87.667,"Mecklenburg",37119,"Urban center","Higher income","Lower unemployment","Southwest",65
"107",107,20809,2022-03-05,52.856,78.433,"Mecklenburg",37119,"Urban center","Higher income","Lower unemployment","Southwest",64
"108",108,12286,2022-03-03,52.267,79,"Brunswick",37019,"Urban center","Higher income","Moderate unemployment","Southeast",62
"109",109,38871,2022-03-06,52.039,84.7,"Iredell",37097,"Urban center","Higher income","Lower unemployment","Southwest",65
"110",110,47555,2022-03-06,51.988,84.933,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",65
"111",111,6020,2022-03-16,51.52,74.167,"Cherokee",37039,"Not urban","Middle income","Moderate unemployment","Western",75
"112",112,6006,2022-03-16,51.163,69.133,"Gaston",37071,"Urban outlying","Middle income","Lower unemployment","Southwest",75
"113",113,12697,2022-03-06,51.138,83,"Forsyth",37067,"Urban center","Higher income","Lower unemployment","Piedmont Triad",65
"114",114,55773,2022-03-05,50.952,72.933,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",64
"115",115,47499,2022-03-06,50.796,90.267,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",65
"116",116,47555,2022-03-02,50.524,80.933,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",61
"117",117,6022,2022-03-16,50.302,71.733,"Mecklenburg",37119,"Urban center","Higher income","Lower unemployment","Southwest",75
"118",118,55773,2022-03-03,50.227,85.571,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",62
"119",119,52885,2022-03-06,50.215,83.133,"Rowan",37159,"Urban outlying","Middle income","Moderate unemployment","Southwest",65
"120",120,12807,2022-03-04,50.202,84.167,"Wayne",37191,"Urban center","Middle income","Moderate unemployment","Southeast",63
"121",121,6028,2022-03-16,49.921,69.7,"Mecklenburg",37119,"Urban center","Higher income","Lower unemployment","Southwest",75
"122",122,31261,2022-03-05,49.65,71.433,"Yancey",37199,"Not urban","Lower income","Lower unemployment","Northwest",64
"123",123,47493,2022-03-06,49.421,89.4,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",65
"124",124,20521,2022-03-05,49.152,84.133,"Mecklenburg",37119,"Urban center","Higher income","Lower unemployment","Southwest",64
"125",125,47457,2022-03-02,48.906,82.667,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",61
"126",126,12807,2022-03-03,47.913,104.7,"Wayne",37191,"Urban center","Middle income","Moderate unemployment","Southeast",62
"127",127,6006,2022-03-05,47.669,77.667,"Gaston",37071,"Urban outlying","Middle income","Lower unemployment","Southwest",64
"128",128,47481,2022-03-05,47.44,71.433,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",64
"129",129,31261,2022-03-06,47.351,74.8,"Yancey",37199,"Not urban","Lower income","Lower unemployment","Northwest",65
"130",130,38917,2022-03-13,47.176,55.433,"Caswell",37033,"Not urban","Middle income","Moderate unemployment","Piedmont Triad",72
"131",131,47477,2022-03-08,46.958,80.867,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",67
"132",132,47465,2022-03-03,46.413,85,"Durham",37063,"Urban center","Higher income","Lower unemployment","North Central",62
"133",133,47493,2022-03-16,46.087,79.433,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",75
"134",134,36451,2022-03-06,45.802,80.84,"Clay",37043,"Not urban","Lower income","Moderate unemployment","Western",65
"135",135,11174,2022-03-05,45.65,73.933,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",64
"136",136,47555,2022-03-16,45.614,78,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",75
"137",137,12835,2022-03-10,45.547,64.767,"Lincoln",37109,"Urban outlying","Higher income","Lower unemployment","Southwest",69
"138",138,25561,2022-03-06,45.464,87.533,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",65
"139",139,47487,2022-03-03,45.443,84.933,"Durham",37063,"Urban center","Higher income","Lower unemployment","North Central",62
"140",140,11184,2022-03-05,45.163,80.533,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",64
"141",141,11644,2022-03-05,44.832,75.7,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",64
"142",142,6008,2022-03-06,44.723,87.9,"Forsyth",37067,"Urban center","Higher income","Lower unemployment","Piedmont Triad",65
"143",143,12823,2022-03-03,44.575,99.433,"Edgecombe",37065,"Urban center","Lower income","Higher unemployment","North Central",62
"144",144,54093,2022-03-19,44.564,81.233,"Durham",37063,"Urban center","Higher income","Lower unemployment","North Central",78
"145",145,47617,2022-03-05,44.529,74.483,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",64
"146",146,47499,2022-03-16,44.43,82.567,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",75
"147",147,47459,2022-03-03,44.245,90.567,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",62
"148",148,31619,2022-03-06,44.143,85.6,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",65
"149",149,6020,2022-03-08,44.046,68.067,"Cherokee",37039,"Not urban","Middle income","Moderate unemployment","Western",67
"150",150,55773,2022-03-16,43.982,75.533,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",75
"151",151,47495,2022-03-16,43.934,77.233,"Durham",37063,"Urban center","Higher income","Lower unemployment","North Central",75
"152",152,38873,2022-03-06,43.757,80.2,"Rockingham",37157,"Urban outlying","Middle income","Moderate unemployment","Piedmont Triad",65
"153",153,47483,2022-03-16,43.636,78.1,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",75
"154",154,6112,2022-03-03,43.6,91.833,"Stanly",37167,"Urban center","Middle income","Lower unemployment","Southwest",62
"155",155,20809,2022-03-03,43.446,88.033,"Mecklenburg",37119,"Urban center","Higher income","Lower unemployment","Southwest",62
"156",156,6008,2022-03-05,43.369,81.1,"Forsyth",37067,"Urban center","Higher income","Lower unemployment","Piedmont Triad",64
"157",157,54095,2022-03-16,43.263,79.067,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",75
"158",158,7906,2022-03-03,43.226,90.867,"Duplin",37061,"Not urban","Lower income","Moderate unemployment","Southeast",62
"159",159,15587,2022-03-06,43.189,89.7,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",65
"160",160,15591,2022-03-06,42.988,86.067,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",65
"161",161,36451,2022-03-07,42.984,75.133,"Clay",37043,"Not urban","Lower income","Moderate unemployment","Western",66
"162",162,47481,2022-03-11,42.938,64.533,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",70
"163",163,12867,2022-03-06,42.553,84.867,"Mecklenburg",37119,"Urban center","Higher income","Lower unemployment","Southwest",65
"164",164,5988,2022-03-03,42.539,99.133,"Nash",37127,"Urban center","Middle income","Moderate unemployment","North Central",62
"165",165,2873,2022-03-03,42.491,94.667,"Durham",37063,"Urban center","Higher income","Lower unemployment","North Central",62
"166",166,11184,2022-03-16,42.486,76.167,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",75
"167",167,12787,2022-03-05,42.353,85.567,"Edgecombe",37065,"Urban center","Lower income","Higher unemployment","North Central",64
"168",168,36451,2022-03-05,42.27,82.933,"Clay",37043,"Not urban","Lower income","Moderate unemployment","Western",64
"169",169,57681,2022-03-16,42.266,76.1,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",75
"170",170,45621,2022-03-06,42.139,84.733,"Durham",37063,"Urban center","Higher income","Lower unemployment","North Central",65
"171",171,25561,2022-03-16,42.089,74.533,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",75
"172",172,47457,2022-03-16,41.887,78.933,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",75
"173",173,6112,2022-03-15,41.851,85.033,"Stanly",37167,"Urban center","Middle income","Lower unemployment","Southwest",74
"174",174,48745,2022-03-16,41.791,80,"Durham",37063,"Urban center","Higher income","Lower unemployment","North Central",75
"175",175,47477,2022-03-05,41.533,80.367,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",64
"176",176,55773,2022-03-02,41.494,78.5,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",61
"177",177,47457,2022-03-06,41.489,86.633,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",65
"178",178,12689,2022-03-15,41.466,76.9,"Wilkes",37193,"Urban center","Middle income","Lower unemployment","Northwest",74
"179",179,15587,2022-03-16,41.435,79.733,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",75
"180",180,12835,2022-03-16,41.417,69.1,"Lincoln",37109,"Urban outlying","Higher income","Lower unemployment","Southwest",75
"181",181,7906,2022-03-05,41.367,82.9,"Duplin",37061,"Not urban","Lower income","Moderate unemployment","Southeast",64
"182",182,47469,2022-03-05,41.366,74.933,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",64
"183",183,47621,2022-03-16,41.337,78.667,"Durham",37063,"Urban center","Higher income","Lower unemployment","North Central",75
"184",184,4329,2022-03-09,41.317,70,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",68
"185",185,47465,2022-03-16,41.109,75.433,"Durham",37063,"Urban center","Higher income","Lower unemployment","North Central",75
"186",186,12697,2022-03-05,41.011,77.8,"Forsyth",37067,"Urban center","Higher income","Lower unemployment","Piedmont Triad",64
"187",187,15587,2022-03-02,40.82,87.267,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",61
"188",188,54095,2022-03-05,40.759,77.367,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",64
"189",189,5872,2022-03-01,40.632,89.533,"Chatham",37037,"Urban center","Higher income","Lower unemployment","North Central",60
"190",190,48745,2022-03-09,40.29,70.9,"Durham",37063,"Urban center","Higher income","Lower unemployment","North Central",68
"191",191,54095,2022-03-02,40.284,88.1,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",61
"192",192,6112,2022-03-02,40.185,85.533,"Stanly",37167,"Urban center","Middle income","Lower unemployment","Southwest",61
"193",193,47477,2022-03-11,40.093,78.8,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",70
"194",194,47505,2022-03-05,40.081,78.433,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",64
"195",195,38875,2022-03-09,40.024,85.7,"Pender",37141,"Urban outlying","Higher income","Moderate unemployment","Southeast",68
"196",196,2873,2022-03-16,39.964,78.833,"Durham",37063,"Urban center","Higher income","Lower unemployment","North Central",75
"197",197,28147,2022-03-05,39.836,77.433,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",64
"198",198,47459,2022-03-05,39.708,76.3,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",64
"199",199,47615,2022-03-16,39.556,77.5,"Johnston",37101,"Urban center","Higher income","Lower unemployment","North Central",75
"200",200,38917,2022-03-16,39.499,78.367,"Caswell",37033,"Not urban","Middle income","Moderate unemployment","Piedmont Triad",75
"201",201,6008,2022-03-16,39.476,75.367,"Forsyth",37067,"Urban center","Higher income","Lower unemployment","Piedmont Triad",75
"202",202,47457,2022-03-18,39.34,83.933,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",77
"203",203,47617,2022-03-16,39.326,75.867,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",75
"204",204,47487,2022-03-16,39.179,74.897,"Durham",37063,"Urban center","Higher income","Lower unemployment","North Central",75
"205",205,15591,2022-03-03,39.171,90.2,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",62
"206",206,37403,2022-03-16,39.125,76.8,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",75
"207",207,15591,2022-03-16,38.975,80.867,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",75
"208",208,47459,2022-03-16,38.963,76.8,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",75
"209",209,15587,2022-03-03,38.891,94.467,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",62
"210",210,47505,2022-03-16,38.864,78.733,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",75
"211",211,47581,2022-03-16,38.848,79.6,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",75
"212",212,47469,2022-03-16,38.847,77.586,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",75
"213",213,55111,2022-03-11,38.821,68.6,"Hoke",37093,"Urban center","Middle income","Moderate unemployment","Sandhills",70
"214",214,47495,2022-03-03,38.799,96.167,"Durham",37063,"Urban center","Higher income","Lower unemployment","North Central",62
"215",215,3050,2022-03-03,38.75,89.233,"Cumberland",37051,"Urban center","Middle income","Moderate unemployment","Sandhills",62
"216",216,37403,2022-03-06,38.478,86.4,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",65
"217",217,1326,2022-03-05,38.436,82.067,"Haywood",37087,"Urban center","Middle income","Lower unemployment","Western",64
"218",218,47495,2022-03-05,38.301,82.933,"Durham",37063,"Urban center","Higher income","Lower unemployment","North Central",64
"219",219,12835,2022-03-17,38.248,85.233,"Lincoln",37109,"Urban outlying","Higher income","Lower unemployment","Southwest",76
"220",220,28147,2022-03-16,38.124,78.867,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",75
"221",221,47621,2022-03-03,37.989,83.367,"Durham",37063,"Urban center","Higher income","Lower unemployment","North Central",62
"222",222,757,2022-03-16,37.821,78.967,"Durham",37063,"Urban center","Higher income","Lower unemployment","North Central",75
"223",223,31619,2022-03-16,37.753,76.367,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",75
"224",224,5988,2022-03-16,37.734,87.667,"Nash",37127,"Urban center","Middle income","Moderate unemployment","North Central",75
"225",225,11190,2022-03-05,37.708,73.9,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",64
"226",226,47633,2022-03-05,37.663,73.8,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",64
"227",227,11174,2022-03-03,37.577,92.567,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",62
"228",228,47493,2022-03-05,37.474,77.367,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",64
"229",229,6006,2022-03-11,37.295,71.333,"Gaston",37071,"Urban outlying","Middle income","Lower unemployment","Southwest",70
"230",230,20521,2022-03-16,37.292,68.5,"Mecklenburg",37119,"Urban center","Higher income","Lower unemployment","Southwest",75
"231",231,757,2022-03-05,37.222,76.267,"Durham",37063,"Urban center","Higher income","Lower unemployment","North Central",64
"232",232,12697,2022-03-17,37.198,80.567,"Forsyth",37067,"Urban center","Higher income","Lower unemployment","Piedmont Triad",76
"233",233,11180,2022-03-03,37.181,84.857,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",62
"234",234,52885,2022-03-08,37.16,74.267,"Rowan",37159,"Urban outlying","Middle income","Moderate unemployment","Southwest",67
"235",235,38917,2022-03-15,37.148,76.233,"Caswell",37033,"Not urban","Middle income","Moderate unemployment","Piedmont Triad",74
"236",236,47621,2022-03-05,37.114,73.8,"Durham",37063,"Urban center","Higher income","Lower unemployment","North Central",64
"237",237,47477,2022-03-16,36.981,77.767,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",75
"238",238,757,2022-03-01,36.978,77.733,"Durham",37063,"Urban center","Higher income","Lower unemployment","North Central",60
"239",239,1326,2022-03-11,36.976,75.433,"Haywood",37087,"Urban center","Middle income","Lower unemployment","Western",70
"240",240,47457,2022-03-15,36.938,78.103,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",74
"241",241,11184,2022-03-03,36.872,93.6,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",62
